Variable ,Encuesta,Genero,Valor
Dirección General,EDIT VII ,Hombre,1092
Dirección General,EDIT VII ,Mujer,313
Dirección General,EDIT  VIII,Hombre,1113
Dirección General,EDIT  VIII,Mujer,353
Dirección General,EDIT  IX,Hombre,936
Dirección General,EDIT  IX,Mujer,278
Administración,EDIT VII ,Hombre,1502
Administración,EDIT VII ,Mujer,1100
Administración,EDIT  VIII,Hombre,1619
Administración,EDIT  VIII,Mujer,1213
Administración,EDIT  IX,Hombre,1188
Administración,EDIT  IX,Mujer,844
Mercadeo y Ventas,EDIT VII ,Hombre,998
Mercadeo y Ventas,EDIT VII ,Mujer,1022
Mercadeo y Ventas,EDIT  VIII,Hombre,1142
Mercadeo y Ventas,EDIT  VIII,Mujer,1204
Mercadeo y Ventas,EDIT  IX,Hombre,802
Mercadeo y Ventas,EDIT  IX,Mujer,696
Producción,EDIT VII ,Hombre,7840
Producción,EDIT VII ,Mujer,2261
Producción,EDIT  VIII,Hombre,7999
Producción,EDIT  VIII,Mujer,2664
Producción,EDIT  IX,Hombre,4146
Producción,EDIT  IX,Mujer,1225
Contable y financiero,EDIT VII ,Hombre,362
Contable y financiero,EDIT VII ,Mujer,424
Contable y financiero,EDIT  VIII,Hombre,256
Contable y financiero,EDIT  VIII,Mujer,394
Contable y financiero,EDIT  IX,Hombre,172
Contable y financiero,EDIT  IX,Mujer,228
Investigación y Desarrollo,EDIT VII ,Hombre,2347
Investigación y Desarrollo,EDIT VII ,Mujer,990
Investigación y Desarrollo,EDIT  VIII,Hombre,2380
Investigación y Desarrollo,EDIT  VIII,Mujer,1463
Investigación y Desarrollo,EDIT  IX,Hombre,2522
Investigación y Desarrollo,EDIT  IX,Mujer,1449
Dirección General,EDITS IV,Hombre,1785
Dirección General,EDITS IV,Mujer,1278
Dirección General,EDITS  V,Hombre,2340
Dirección General,EDITS  V,Mujer,1344
Dirección General,EDITS  VI,Hombre,2337
Dirección General,EDITS  VI,Mujer,2559
Dirección General,EDITS  VII,Hombre,2452
Dirección General,EDITS  VII,Mujer,1448
Administración,EDITS IV,Hombre,3702
Administración,EDITS IV,Mujer,2953
Administración,EDITS  V,Hombre,5361
Administración,EDITS  V,Mujer,4878
Administración,EDITS  VI,Hombre,3160
Administración,EDITS  VI,Mujer,2530
Administración,EDITS  VII,Hombre,3282
Administración,EDITS  VII,Mujer,3022
Mercadeo y Ventas,EDITS IV,Hombre,2820
Mercadeo y Ventas,EDITS IV,Mujer,2377
Mercadeo y Ventas,EDITS  V,Hombre,2698
Mercadeo y Ventas,EDITS  V,Mujer,2826
Mercadeo y Ventas,EDITS  VI,Hombre,1527
Mercadeo y Ventas,EDITS  VI,Mujer,1291
Mercadeo y Ventas,EDITS  VII,Hombre,1895
Mercadeo y Ventas,EDITS  VII,Mujer,1855
Producción,EDITS IV,Hombre,9232
Producción,EDITS IV,Mujer,5395
Producción,EDITS  V,Hombre,16597
Producción,EDITS  V,Mujer,6127
Producción,EDITS  VI,Hombre,3697
Producción,EDITS  VI,Mujer,2937
Producción,EDITS  VII,Hombre,6472
Producción,EDITS  VII,Mujer,3084
Contable y financiero,EDITS IV,Hombre,822
Contable y financiero,EDITS IV,Mujer,997
Contable y financiero,EDITS  V,Hombre,1430
Contable y financiero,EDITS  V,Mujer,1651
Contable y financiero,EDITS  VI,Hombre,522
Contable y financiero,EDITS  VI,Mujer,680
Contable y financiero,EDITS  VII,Hombre,778
Contable y financiero,EDITS  VII,Mujer,1080
Investigación y Desarrollo,EDITS IV,Hombre,7853
Investigación y Desarrollo,EDITS IV,Mujer,5332
Investigación y Desarrollo,EDITS  V,Hombre,10133
Investigación y Desarrollo,EDITS  V,Mujer,7251
Investigación y Desarrollo,EDITS  VI,Hombre,11762
Investigación y Desarrollo,EDITS  VI,Mujer,8032
Investigación y Desarrollo,EDITS  VII,Hombre,16703
Investigación y Desarrollo,EDITS  VII,Mujer,12009
