Año,Variable,Valor
2009,"Hombres
",335
2010,"Hombres
",396
2011,"Hombres
",429
2012,"Hombres
",528
2013,"Hombres
",445
2014,"Hombres
",403
2015,"Hombres
",275
2016,"Hombres
",296
2017,"Hombres
",560
2018,"Hombres
",378
2009,Mujeres,429
2010,Mujeres,555
2011,Mujeres,571
2012,Mujeres,583
2013,Mujeres,526
2014,Mujeres,489
2015,Mujeres,283
2016,Mujeres,334
2017,Mujeres,563
2018,Mujeres,464
2009,Sin clasificar,0
2010,Sin clasificar,0
2011,Sin clasificar,0
2012,Sin clasificar,0
2013,Sin clasificar,0
2014,Sin clasificar,0
2015,Sin clasificar,0
2016,Sin clasificar,0
2017,Sin clasificar,0
2018,Sin clasificar,0
