Rango de edad,Genero,Valor
Menor de 30,Mujer,115
Menor de 30,Hombre,150
Entre 30 a 40,Mujer,2022
Entre 30 a 40,Hombre,2945
Entre 41 a 50,Mujer,2329
Entre 41 a 50,Hombre,3826
Entre 51 a 60,Mujer,1536
Entre 51 a 60,Hombre,2298
Mayores a 60,Mujer,565
Mayores a 60,Hombre,1298
Menor de 30,Mujer,234
Menor de 30,Hombre,304
Entre 30 a 40,Mujer,1717
Entre 30 a 40,Hombre,2702
Entre 41 a 50,Mujer,1590
Entre 41 a 50,Hombre,2593
Entre 51 a 60,Mujer,1029
Entre 51 a 60,Hombre,1794
Mayores a 60,Mujer,281
Mayores a 60,Hombre,747
Menor de 30,Mujer,82
Menor de 30,Hombre,126
Entre 30 a 40,Mujer,1150
Entre 30 a 40,Hombre,1919
Entre 41 a 50,Mujer,1210
Entre 41 a 50,Hombre,2158
Entre 51 a 60,Mujer,839
Entre 51 a 60,Hombre,1559
Mayores a 60,Mujer,277
Mayores a 60,Hombre,717
Menor de 30,Mujer,23
Menor de 30,Hombre,7
Entre 30 a 40,Mujer,946
Entre 30 a 40,Hombre,550
Entre 41 a 50,Mujer,1724
Entre 41 a 50,Hombre,927
Entre 51 a 60,Mujer,1547
Entre 51 a 60,Hombre,781
Mayores a 60,Mujer,939
Mayores a 60,Hombre,389
Menor de 30,Mujer,25
Menor de 30,Hombre,46
Entre 30 a 40,Mujer,866
Entre 30 a 40,Hombre,1404
Entre 41 a 50,Mujer,1030
Entre 41 a 50,Hombre,1857
Entre 51 a 60,Mujer,753
Entre 51 a 60,Hombre,1360
Mayores a 60,Mujer,256
Mayores a 60,Hombre,673
